equipes,no_cidade,lat,long
"7","Santa Terezinha do Tocantins","-6.43699761844425","-47.684285363008"
"14","São Bento do Tocantins","-6.04499925719239","-47.9193922870534"
"5","São Félix do Tocantins","-10.1732858539628","-46.6549808310122"
"32","São Miguel do Tocantins","-5.55381952879429","-47.5730023393731"
"10","São Salvador do Tocantins","-12.7474334144953","-48.2320849916811"
"13","São Sebastião do Tocantins","-5.25896145373506","-48.2038341490288"
"12","São Valério","-11.9730674594796","-48.2329484333802"
"15","Silvanópolis","-11.1498613085628","-48.1798241355321"
"34","Sítio Novo do Tocantins","-5.60472685665309","-47.6374226504604"
"5","Sucupira","-11.9862215108599","-48.9111262826871"
"42","Taguatinga","-12.3961417386812","-46.4387317008831"
"5","Taipas do Tocantins","-12.1928372090542","-46.9845717959323"
"7","Talismã","-12.7875384068603","-49.0911184339334"
"487","Palmas","-10.1632533267927","-48.3510437082462"
"16","Tocantínia","-9.55814773400572","-48.3758796714266"
"62","Tocantinópolis","-6.32563437602796","-47.4274129286927"
"5","Tupirama","-8.98056954941714","-48.2066848030641"
"7","Tupiratins","-8.39552999695801","-48.1229957408688"
"28","Wanderlândia","-6.85012551668849","-47.9562677260283"
"24","Xambioá","-6.41188502017984","-48.531601072817"
"174","Açailândia","-4.95137700016248","-47.5066645931119"
"18","Afonso Cunha","-4.13501547687008","-43.3208690039685"
"35","Água Doce do Maranhão","-2.8402782791368","-42.1155512017213"
"72","Alcântara","-2.40327652507917","-44.4170125372846"
"56","Aldeias Altas","-4.63077949515205","-43.4687348529398"
"27","Altamira do Maranhão","-4.16226926685315","-45.4646758311604"
"70","Alto Alegre do Maranhão","-4.207227","-44.4482474945232"
"97","Alto Alegre do Pindaré","-3.66517037445328","-45.8420796161705"
"30","Alto Parnaíba","-9.10836593219111","-45.9273440133384"
"19","Amapá do Maranhão","-1.68092149512179","-46.0091799003875"
"113","Amarante do Maranhão","-5.55766200018214","-46.7506375454972"
"71","Anajatuba","-3.25755484212724","-44.6206700277629"
"38","Anapurus","-3.66703466234686","-43.1057925096893"
"41","Apicum-Açu","-1.53059157775485","-45.0766520734486"
"28","Araguanã","-2.94912562327705","-45.6687944761006"
"139","Araioses","-2.88925584643305","-41.8991394498654"
"94","Arame","-4.886081505","-46.013636277835"
"78","Arari","-3.4591709701138","-44.7788346547106"
"48","Axixá","-2.83779683713212","-44.0545858090773"
"275","Bacabal","-4.23152462978051","-44.7815559640891"
